ch1.canDo.0.ja	イベントなどに関する記事を読んで、その特色や様子が理解できる。
ch10.review.2.ex.items.1.options.2	相手への思いやりから{嘘|うそ}をつく人を批判すべきではない。
ch10.review.2.ex.items.1.options.3	{嘘|うそ}をつく人間は{愚|おろ}か{者|もの}と呼ばれるべきである。
ch10.review.2.ex.items.1.q	筆者が最も言いたいことは何か。
ch10.review.2.ex.prompt.ja	次の文章を読んで、後の問いに対する答えとして最もよいものを、1・2・3・4から一つ選びなさい。
ch10.review.2.ex.text.0	「{嘘|うそ}をつくべからず」。これは当然のこととされている。{嘘|うそ}をついたことがわかれば社会的な信頼を失うことになる。{嘘|うそ}は人としてあるまじき{行為|こうい}だと言う人もいる。しかし、{矛盾|むじゅん}{極|きわ}まりないことだが、「これまで生きてきた中で一度も{嘘|うそ}をついたことがない」と言う人は信頼するにたる人物だろうか。
ch10.review.2.ex.text.1	さまざまな立場の人間がいて、その利害や{思惑|おもわく}が{絡|から}まり合う社会において、全く{嘘|うそ}をつくことなしに{円満|えんまん}な人間関係は{築|きず}けないのではないか。{誰|だれ}かの立場を思うがゆえに、{嘘|うそ}をつかずにすまない状況もあるはずだ。それでも__{真実|しんじつ}を{包|つつ}み{隠|かく}さず伝える人物__がいるとすれば、それは思いやりの気持ちを持たない冷たい人間か、その結果起こる{事態|じたい}を予想できない{愚|おろ}か{者|もの}ではないだろうか。
ch10.review.2.ex.title	
ch10.review.2.ex.type	reading
ch10.review.2.title.ja	問題3 〈読解〉
ch10.review.3.ex.items.0.answer	2
ch10.review.3.ex.items.0.options.0	{操作|そうさ}して安心させるべきだ
ch10.review.3.ex.items.0.options.1	責任を持って送るべきだ
ch10.review.3.ex.items.0.options.2	簡単に信じるべきではない
ch10.review.3.ex.items.0.options.3	単純に不安がるべきではない
ch10.review.3.ex.items.0.question	男の人は情報についてどう言っていますか。
ch10.review.3.ex.items.0.questionEn	What does the man say about information?
ch10.review.3.ex.items.0.script.0.ja	ラジオで作家がインタビューに答えています。
ch10.review.3.ex.items.0.script.0.sp	
ch10.review.3.ex.items.0.script.1.ja	早速ですが、{最新作|さいしんさく}『正しく不安がる』について、いろいろお聞きしたいんですが……。
ch10.review.3.ex.items.0.script.1.sp	F
ch10.review.3.ex.items.0.script.2.ja	はい。
ch10.review.3.ex.items.0.script.2.sp	M
ch10.review.3.ex.items.0.script.3.ja	まず、この『正しく不安がる』というタイトルですが……。
ch10.review.3.ex.items.0.script.3.sp	F
ch10.review.3.ex.items.0.script.4.ja	一言で言うと「他人{任|まか}せにして安心するべからず」ということです。
ch10.review.3.ex.items.0.script.4.sp	M
ch10.review.3.ex.items.0.script.5.ja	他人{任|まか}せ……？
ch10.review.3.ex.items.0.script.5.sp	F
ch10.review.3.ex.items.0.script.6.ja	情報化社会って、都合よく{操作|そうさ}された情報も少なくないんですよ。だから、正しい情報を手に入れるって、実は難しいんです。
ch10.review.3.ex.items.0.script.6.sp	M
ch10.review.3.ex.items.0.script.7.ja	なるほど……。
ch10.review.3.ex.items.0.script.7.sp	F
ch10.review.3.ex.items.0.script.8.ja	情報を受ける{方|ほう}にも責任があります。与えられた情報のみで簡単に安心してしまうのは、危険{極|きわ}まりないことなんです。
ch10.review.3.ex.items.0.script.8.sp	M
ch10.review.3.ex.items.0.script.9.ja	確かにそうですね。
ch10.review.3.ex.items.0.script.9.sp	F
ch10.review.3.ex.prompt.ja	この{問題|もんだい}では、{問題用紙|もんだいようし}に{何|なに}も{印刷|いんさつ}されていません。この{問題|もんだい}は、{全体|ぜんたい}としてどんな{内容|ないよう}かを{聞|き}く{問題|もんだい}です。{話|はなし}の{前|まえ}に{質問|しつもん}はありません。まず{話|はなし}を{聞|き}いてください。それから、{質問|しつもん}と{選択肢|せんたくし}を{聞|き}いて、1から4の{中|なか}から、{最|もっと}もよいものを{一|ひと}つ{選|えら}んでください。
ch10.review.3.ex.type	listening
ch10.review.3.title.ja	問題4 〈{聴解|ちょうかい}〉
ch10.title.ja	{前衛|ぜんえい}書道
compare.0.items.0.ex.ja	今のような経営方法では、2、3年のうちに{倒産|とうさん}しかねない。
compare.0.items.0.level	N2
compare.0.items.0.pattern	Vかねない
compare.0.items.1.ex.ja	どうして君が仕事をやめたいと言いだしたのか、理解しかねるんだけどね。
compare.0.items.1.level	N1
compare.0.items.1.no	105
compare.0.items.1.pattern	Vかねる
compare.0.key	〜かねない／かねる
compare.1.items.0.ex.ja	大変なときだからこそ、協力することが大切なんです。
compare.1.items.0.level	N3
compare.1.items.0.pattern	〜からこそ
compare.1.items.1.ex.ja	A：あんなにがんばって練習したんだから、今度の大会は絶対優勝ですね。
B：練習したからといって、簡単には優勝できませんよ。
compare.1.items.1.level	N3
compare.1.items.1.pattern	〜からといって
compare.1.items.2.ex.ja	この会社では、3{ヵ|か}月の研修を受けてからでなければ正社員になれません。
compare.1.items.2.level	N3
compare.1.items.2.pattern	Vてからでなければ
compare.1.items.3.ex.ja	日本での{就職|しゅうしょく}を希望するからには、しっかり{企業|きぎょう}研究をしておいたほうがいい。
compare.1.items.3.level	N2
compare.1.items.3.pattern	Vからには
compare.1.items.4.ex.ja	便利さという点から見ると、やはり田舎より都会のほうが暮らしやすい。
compare.1.items.4.level	N2
compare.1.items.4.pattern	〜から見て
compare.1.items.5.ex.ja	有名デパートの店員は、言葉{遣|づか}いからして{丁寧|ていねい}だ。
compare.1.items.5.level	N1
compare.1.items.5.no	6
compare.1.items.5.pattern	Nからして
compare.1.items.6.ex.ja	小さな子どもが、10kgからある旅行かばんを{一生懸命|いっしょうけんめい}運ぼうとしている。
compare.1.items.6.level	N1
compare.1.items.6.no	107
compare.1.items.6.pattern	〜からあるN
compare.1.items.7.ex.ja	{災害時|さいがいじ}、3,000人からいる観客を、安全に{退出|たいしゅつ}させるには{人手|ひとで}が足りない。
compare.1.items.7.level	N1
compare.1.items.7.no	107
compare.1.items.7.pattern	〜からいるN
compare.1.items.8.ex.ja	2,000万円からする宝石が{何者|なにもの}かに盗まれて、{大騒|おおさわ}ぎになっている。
compare.1.items.8.level	N1
compare.1.items.8.no	107
compare.1.items.8.pattern	〜からするN
compare.1.items.9.ex.ja	{伊藤|いとう}氏は、個人で1億円からの{寄付|きふ}を申し出た。
compare.1.items.9.level	N1
compare.1.items.9.no	107
compare.1.items.9.pattern	〜からのN
compare.1.key	〜から
compare.2.items.0.ex.ja	この地方は4月でも雪が降ることがある。
compare.2.items.0.level	N3
compare.2.items.0.pattern	Vことがある
compare.2.items.1.ex.ja	花見客の多いことといったら、ゆっくり{桜|さくら}も見られないほどでしたよ。
compare.2.items.1.level	N3
compare.2.items.1.pattern	Aことといったら
compare.2.items.2.ex.ja	{鈴木|すずき}選手のことだから、{本番|ほんばん}ではさらにすばらしい{演技|えんぎ}を見せてくれることでしょう。
compare.2.items.2.level	N3
compare.2.items.2.pattern	Nのことだから
compare.2.items.3.ex.ja	{願書|がんしょ}は1月28日{必着|ひっちゃく}のこと。{窓口|まどぐち}での受け付けは行っておりません。
compare.2.items.3.level	N2
compare.2.items.3.pattern	〜こと。
compare.2.items.4.ex.ja	人は私のことを頭がいいと言うけど、この試験に合格するために、どれだけ勉強したことか。私の努力は{誰|だれ}も知らないでしょうね。
compare.2.items.4.level	N2
compare.2.items.4.pattern	〜ことか
compare.2.items.5.ex.ja	このサツマイモは中が赤いことから、{紅|べに}イモと呼ばれています。
compare.2.items.5.level	N2
compare.2.items.5.pattern	〜ことから
compare.2.items.6.ex.ja	ニュースでは、今回の地震による{津波|つなみ}の心配はないということです。
compare.2.items.6.level	N3
compare.2.items.6.pattern	〜ということだ
compare.2.items.7.ex.ja	仕事でも何でも自分一人で悩まないで、{誰|だれ}かに相談することですよ。
compare.2.items.7.level	N2
compare.2.items.7.pattern	Vことだ
compare.2.items.8.ex.ja	私が日本にいる間に、家族がドイツへ旅行に行ったなんて、聞かなかったことにしたいなあ。
compare.2.items.8.level	N2
compare.2.items.8.pattern	Vことにする
compare.2.items.9.ex.ja	ホテルの部屋に入ったら、{驚|おどろ}いたことに、バラの{花|はな}{束|たば}とホテルマネージャーからの{歓迎|かんげい}メッセージがテーブルの上に置いてあった。
compare.2.items.9.level	N2
compare.2.items.9.pattern	〜ことに
compare.2.items.10.ex.ja	リンさんは朝から晩まで休むことなく、働き続けた。
compare.2.items.10.level	N2
compare.2.items.10.pattern	Vことなく
compare.2.items.11.ex.ja	今の{選挙|せんきょ}制度では、{選挙|せんきょ}運動をすることなく国会議員に{当選|とうせん}するなどあり{得|え}ないと言われている。
compare.2.items.11.level	N1
compare.2.items.11.no	123
compare.2.items.11.pattern	Vことなく…ない
compare.2.items.12.ex.ja	責任を取ることなしに自由を求めることはできない。
compare.2.items.12.level	N1
compare.2.items.12.no	123
compare.2.items.12.pattern	Vことなしに…ない
compare.2.items.13.ex.ja	A：ここに{若干名|じゃっかんめい}{募集|ぼしゅう}って書いてあるけど、何人ぐらい採用するのかなあ。
B：問い合わせてみないことには、{詳|くわ}しいことはわからないよ。
compare.2.items.13.level	N2
compare.2.items.13.pattern	〜ないことには
compare.2.items.14.ex.ja	君が{謝|あやま}ることはないよ。悪いのは向こうなんだから。
compare.2.items.14.level	N2
compare.2.items.14.pattern	Vことはない
compare.2.items.15.ex.ja	A：お酒、お好きですか。
B：そんなに好きではありませんが、飲めないことはありません。
compare.2.items.15.level	N2
compare.2.items.15.pattern	〜ないことはない
compare.2.items.16.ex.ja	{何分|なにぶん}にも田舎のこととて{山菜|さんさい}料理しかありませんが、どうぞゆっくりしていってください。
compare.2.items.16.level	N1
compare.2.items.16.no	68
compare.2.items.16.pattern	〜こととて
compare.2.key	〜こと
compare.3.items.0.ex.ja	ただ今、{全線|ぜんせん}で運転を{見合|みあ}わせておりますが、情報が入り{次第|しだい}、お伝えいたします。
compare.3.items.0.level	N2
compare.3.items.0.pattern	〜{次第|しだい}①
compare.3.items.1.ex.ja	登山ルートは天候{次第|しだい}で変更する場合もありますので、ご{了承|りょうしょう}ください。
compare.3.items.1.level	N2
compare.3.items.1.pattern	N{次第|しだい}②
compare.3.items.2.ex.ja	今回の仕事は{当社|とうしゃ}の技術力では難しいと思い、お断りした{次第|しだい}です。
compare.3.items.2.level	N1
compare.3.items.2.no	12
compare.3.items.2.pattern	〜{次第|しだい}だ
compare.3.key	〜{次第|しだい}
compare.4.items.0.ex.ja	A：{蚊|か}に刺されたところ、かいちゃだめだよ。
B：そう言われても、かゆくてかかずにはいられないんだよ。
compare.4.items.0.level	N3
compare.4.items.0.pattern	Vずにはいられない
compare.4.items.1.ex.ja	「今度こそ犯人を捕まえずにはおかないぞ」と{警部|けいぶ}は心に{誓|ちか}った。
compare.4.items.1.level	N1
compare.4.items.1.no	32
compare.4.items.1.pattern	Vずにはおかない①
compare.4.items.2.ex.ja	{盲目|もうもく}のピアニストが{奏|かな}でる美しい調べは、{聴衆|ちょうしゅう}の心を{震|ふる}わせずにはおかなかった。
compare.4.items.2.level	N1
compare.4.items.2.no	32
compare.4.items.2.pattern	Vずにはおかない②
compare.4.items.3.ex.ja	会社の金を{横領|おうりょう}したのだから、彼は首にならずにはすまないはずだ。
compare.4.items.3.level	N1
compare.4.items.3.no	117
compare.4.items.3.pattern	Vずにはすまない
compare.4.key	〜ずには
compare.5.items.0.ex.ja	{屋上|おくじょう}に上がったら、{東京|とうきょう}スカイツリーが見えた。
compare.5.items.0.level	N3
compare.5.items.0.pattern	〜たら
compare.5.items.1.ex.ja	部屋にほこりがたまれば文句を言うし、掃除をしたらしたで、「勝手に入った」と怒るし、全く高校生の息子は{扱|あつか}いにくい。
compare.5.items.1.level	N1
compare.5.items.1.no	55
compare.5.items.1.pattern	〜たら〜たで
compare.5.items.2.ex.ja	花見客の多いことといったら、ゆっくり{桜|さくら}も見られないほどでしたよ。
compare.5.items.2.level	N3
compare.5.items.2.pattern	Aことといったら
compare.5.items.3.ex.ja	うちの犬ったら、私が{浴衣|ゆかた}着てたら、よその人と間違えてほえたのよ。
compare.5.items.3.level	N2
compare.5.items.3.pattern	Nったら
compare.5.items.4.ex.ja	今年の夏は暑いといったらない。早く秋になってほしい。
